Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
201,Conor Hourihane,ie IRL,MF,Aston Villa,28,1991,17.0,3,29,10,34.5,1.70,0.59,0.10,0.30,20.5,4,0,0,1.6,1.6,0.06,+1.4,+1.4,Matches
202,Callum Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,9.6,1,22,4,18.2,2.29,0.42,0.05,0.25,17.4,0,0,0,1.7,1.7,0.08,-0.7,-0.7,Matches
203,Will Hughes,eng ENG,"MF,FW",Watford,24,1995,25.0,1,27,3,11.1,1.08,0.12,0.04,0.33,18.1,0,0,0,2.5,2.5,0.09,-1.5,-1.5,Matches
204,Pierre Højbjerg,dk DEN,MF,Southampton,23,1995,30.6,0,47,10,21.3,1.54,0.33,0.00,0.00,21.9,0,0,0,2.7,2.7,0.06,-2.7,-2.7,Matches
205,Jordon Ibe,eng ENG,DF,Bournemouth,23,1995,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
206,Adam Idah,ie IRL,"FW,MF",Norwich City,18,2001,2.5,0,6,2,33.3,2.37,0.79,0.00,0.00,16.6,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches
207,Odion Ighalo,ng NGA,FW,Manchester Utd,30,1989,1.1,0,7,3,42.9,6.24,2.67,0.00,0.00,11.2,0,0,0,1.5,1.5,0.22,-1.5,-1.5,Matches
208,Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,22,1996,10.7,5,34,18,52.9,3.19,1.69,0.15,0.28,15.1,0,0,0,4.8,4.8,0.14,+0.2,+0.2,Matches
209,Danny Ings,eng ENG,FW,Southampton,27,1992,31.2,22,90,35,38.9,2.89,1.12,0.23,0.60,13.5,0,1,2,16.7,15.2,0.17,+5.3,+5.8,Matches
210,Alex Iwobi,ng NGA,"MF,FW",Everton,23,1996,17.7,1,23,9,39.1,1.30,0.51,0.04,0.11,17.0,0,0,0,2.4,2.4,0.10,-1.4,-1.4,Matches
211,Phil Jagielka,eng ENG,DF,Sheffield Utd,36,1982,2.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
212,Alireza Jahanbakhsh,ir IRN,"FW,MF",Brighton,25,1993,3.5,2,11,2,18.2,3.18,0.58,0.18,1.00,19.4,0,0,0,0.5,0.5,0.05,+1.5,+1.5,Matches
213,Daniel James,wls WAL,FW,Manchester Utd,21,1997,25.4,3,42,19,45.2,1.65,0.75,0.07,0.16,16.8,0,0,0,3.6,3.6,0.09,-0.6,-0.6,Matches
214,Matty James,eng ENG,MF,Leicester City,28,1991,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
215,Reece James,eng ENG,DF,Chelsea,19,1999,16.8,0,18,3,16.7,1.07,0.18,0.00,0.00,20.2,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
216,Daryl Janmaat,nl NED,DF,Watford,30,1989,6.7,0,4,0,0.0,0.59,0.00,0.00,,17.7,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
217,Gabriel Jesus,br BRA,FW,Manchester City,22,1997,22.6,14,102,43,42.2,4.52,1.91,0.14,0.33,10.8,0,0,1,18.5,17.7,0.18,-4.5,-3.7,Matches
218,Raúl Jiménez,mx MEX,FW,Wolves,28,1991,36.0,17,114,39,34.2,3.17,1.08,0.11,0.33,15.1,0,4,4,14.7,11.7,0.10,+2.3,+1.3,Matches
219,Joelinton,br BRA,FW,Newcastle Utd,22,1996,29.8,2,52,15,28.8,1.74,0.50,0.04,0.13,13.8,0,0,0,4.8,4.8,0.09,-2.8,-2.8,Matches
220,Ben Johnson,eng ENG,DF,West Ham,19,2000,3.0,0,1,0,0.0,0.33,0.00,0.00,,28.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
221,Curtis Jones,eng ENG,MF,Liverpool,18,2001,1.4,1,6,2,33.3,4.29,1.43,0.17,0.50,16.7,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matches
222,Phil Jones,eng ENG,DF,Manchester Utd,27,1992,1.5,0,2,1,50.0,1.33,0.67,0.00,0.00,10.0,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
223,Bruno Jordão,pt POR,FW,Wolves,20,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
224,Jorginho,it ITA,MF,Chelsea,27,1991,26.4,4,10,1,10.0,0.38,0.04,0.10,1.00,24.1,0,3,3,3.4,1.1,0.11,+0.6,-0.1,Matches
225,Jota,es ESP,"FW,MF",Aston Villa,28,1991,3.7,0,6,1,16.7,1.61,0.27,0.00,0.00,19.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
